call_id,code,as_of,action,confidence,horizon_d,state_pattern,invalidation
c001,561010,2025-09-15,buy_early,0.70,30,trend:open,
c002,561010,2025-11-10,buy_early,0.70,30,trend:open,
c003,561010,2026-01-05,buy_early,0.70,30,trend:open,
c004,561010,2026-03-02,buy_early,0.70,30,trend:open,
c005,561010,2025-09-15,trim,0.90,30,reversal:extreme_high,
c006,561010,2025-11-10,trim,0.90,30,reversal:extreme_high,
c007,561010,2026-01-05,trim,0.90,30,reversal:extreme_high,
c008,561010,2026-03-02,trim,0.90,30,reversal:extreme_high,
c009,561160,2025-09-12,avoid,0.80,30,trend:capped,
c010,561160,2025-11-07,avoid,0.80,30,trend:capped,
c011,561160,2026-01-02,avoid,0.80,30,trend:capped,
c012,561160,2026-02-27,avoid,0.80,30,trend:capped,
c013,588200,2025-09-15,hold,0.50,30,macro:high|trend:open,
c014,588200,2025-11-10,hold,0.50,30,macro:high|trend:open,
c015,588200,2026-01-05,hold,0.50,30,macro:high|trend:open,
c016,588200,2026-03-02,hold,0.50,30,macro:high|trend:open,
c017,515880,2025-09-15,abstain,0.00,30,,
