filer,as_of,holding,shares
0001067983,2024-06-30,COHR,900000
0001067983,2024-06-30,AVGO,621036
0001067983,2024-09-30,COHR,985648
0001067983,2024-09-30,AVGO,653657
0001364742,2024-09-30,COHR,434453
0001067983,2024-12-31,COHR,1032339
0001067983,2024-12-31,AVGO,668374
0001364742,2024-12-31,COHR,447732
0001067983,2025-03-31,COHR,1043691
0001067983,2025-03-31,AVGO,676755
0001364742,2025-03-31,COHR,449684
0001067983,2025-06-30,COHR,1061936
0001067983,2025-06-30,AVGO,695158
0001364742,2025-06-30,COHR,466749
0001067983,2025-09-30,COHR,1121779
0001067983,2025-09-30,AVGO,732362
0001364742,2025-09-30,COHR,503226
0001067983,2025-12-31,COHR,1212461
0001067983,2025-12-31,AVGO,782913
0001364742,2025-12-31,COHR,534978
0001067983,2026-03-31,COHR,1289526
0001067983,2026-03-31,AVGO,831260
0001364742,2026-03-31,COHR,544786
