code,name,type,on_exchange,inception,delisting,fee,tracking_error,top10_weight
561010,光通信 / optical-module ETF,ETF,true,2021-01-20,,0.005,0.010,0.62
515880,通信ETF,ETF,true,2019-06-15,,0.005,0.011,0.58
588200,科创芯片ETF,ETF,true,2022-09-01,,0.005,0.013,0.60
561160,储能ETF,ETF,true,2022-03-10,,0.005,0.010,0.55
159755,电池ETF,ETF,true,2021-11-08,,0.006,0.012,0.60
516160,新能源车ETF,ETF,true,2021-05-20,,0.005,0.015,0.58
159857,光储龙头ETF,ETF,true,2023-02-14,,0.005,0.011,0.62
510300,沪深300ETF,ETF,true,2012-05-28,,0.005,0.002,0.65
000001,华夏成长混合,混合型,false,2001-12-18,,,,
159999,退市光伏ETF,ETF,true,2018-03-01,2025-12-31,0.005,0.020,0.50
