code,as_of,pe
561010,2026-05-15,40.3
561010,2026-05-18,43.6
561010,2026-05-19,46.5
561010,2026-05-20,48.5
561010,2026-05-21,49.1
561010,2026-05-22,48.3
561010,2026-05-25,46.3
561010,2026-05-26,43.6
561010,2026-05-27,41.1
561010,2026-05-28,39.4
561010,2026-05-29,39.0
561010,2026-06-01,40.0
561010,2026-06-02,42.4
561010,2026-06-03,45.5
561010,2026-06-04,48.7
561010,2026-06-05,51.3
515880,2026-05-15,28.3
515880,2026-05-18,31.6
515880,2026-05-19,34.5
515880,2026-05-20,36.5
515880,2026-05-21,37.1
515880,2026-05-22,36.3
515880,2026-05-25,34.3
515880,2026-05-26,31.6
515880,2026-05-27,29.1
515880,2026-05-28,27.4
515880,2026-05-29,27.0
515880,2026-06-01,28.0
515880,2026-06-02,30.4
515880,2026-06-03,33.5
515880,2026-06-04,36.7
515880,2026-06-05,39.3
588200,2026-05-15,53.3
588200,2026-05-18,56.6
588200,2026-05-19,59.5
588200,2026-05-20,61.5
588200,2026-05-21,62.1
588200,2026-05-22,61.3
588200,2026-05-25,59.3
588200,2026-05-26,56.6
588200,2026-05-27,54.1
588200,2026-05-28,52.4
588200,2026-05-29,52.0
588200,2026-06-01,53.0
588200,2026-06-02,55.4
588200,2026-06-03,58.5
588200,2026-06-04,61.7
588200,2026-06-05,64.3
561160,2026-05-15,33.3
561160,2026-05-18,36.6
561160,2026-05-19,39.5
561160,2026-05-20,41.5
561160,2026-05-21,42.1
561160,2026-05-22,41.3
561160,2026-05-25,39.3
561160,2026-05-26,36.6
561160,2026-05-27,34.1
561160,2026-05-28,32.4
561160,2026-05-29,32.0
561160,2026-06-01,33.0
561160,2026-06-02,35.4
561160,2026-06-03,38.5
561160,2026-06-04,41.7
561160,2026-06-05,44.3
