code,as_of,nav
561010,2025-08-04,1.223
561010,2025-08-05,1.238
561010,2025-08-06,1.248
561010,2025-08-07,1.25
561010,2025-08-08,1.244
561010,2025-08-11,1.236
561010,2025-08-12,1.23
561010,2025-08-13,1.23
561010,2025-08-14,1.238
561010,2025-08-15,1.251
561010,2025-08-18,1.263
561010,2025-08-19,1.27
561010,2025-08-20,1.268
561010,2025-08-21,1.259
561010,2025-08-22,1.248
561010,2025-08-25,1.239
561010,2025-08-26,1.238
561010,2025-08-27,1.245
561010,2025-08-28,1.257
561010,2025-08-29,1.27
561010,2025-09-01,1.277
561010,2025-09-02,1.277
561010,2025-09-03,1.27
561010,2025-09-04,1.261
561010,2025-09-05,1.256
561010,2025-09-08,1.258
561010,2025-09-09,1.269
561010,2025-09-10,1.285
561010,2025-09-11,1.3
561010,2025-09-12,1.31
561010,2025-09-15,1.311
561010,2025-09-16,1.305
561010,2025-09-17,1.297
561010,2025-09-18,1.291
561010,2025-09-19,1.292
561010,2025-09-22,1.301
561010,2025-09-23,1.314
561010,2025-09-24,1.327
561010,2025-09-25,1.333
561010,2025-09-26,1.331
561010,2025-09-29,1.321
561010,2025-09-30,1.309
561010,2025-10-01,1.3
561010,2025-10-02,1.299
561010,2025-10-03,1.307
561010,2025-10-06,1.32
561010,2025-10-07,1.332
561010,2025-10-08,1.339
561010,2025-10-09,1.338
561010,2025-10-10,1.331
561010,2025-10-13,1.321
561010,2025-10-14,1.316
561010,2025-10-15,1.318
561010,2025-10-16,1.33
561010,2025-10-17,1.347
561010,2025-10-20,1.362
561010,2025-10-21,1.372
561010,2025-10-22,1.373
561010,2025-10-23,1.366
561010,2025-10-24,1.357
561010,2025-10-27,1.352
561010,2025-10-28,1.353
561010,2025-10-29,1.363
561010,2025-10-30,1.378
561010,2025-10-31,1.391
561010,2025-11-03,1.397
561010,2025-11-04,1.393
561010,2025-11-05,1.383
561010,2025-11-06,1.37
561010,2025-11-07,1.361
561010,2025-11-10,1.361
561010,2025-11-11,1.369
561010,2025-11-12,1.383
561010,2025-11-13,1.395
561010,2025-11-14,1.402
561010,2025-11-17,1.4
561010,2025-11-18,1.391
561010,2025-11-19,1.381
561010,2025-11-20,1.376
561010,2025-11-21,1.379
561010,2025-11-24,1.391
561010,2025-11-25,1.409
561010,2025-11-26,1.425
561010,2025-11-27,1.434
561010,2025-11-28,1.434
561010,2025-12-01,1.427
561010,2025-12-02,1.418
561010,2025-12-03,1.412
561010,2025-12-04,1.415
561010,2025-12-05,1.426
561010,2025-12-08,1.441
561010,2025-12-09,1.454
561010,2025-12-10,1.46
561010,2025-12-11,1.456
561010,2025-12-12,1.445
561010,2025-12-15,1.431
561010,2025-12-16,1.423
561010,2025-12-17,1.423
561010,2025-12-18,1.432
561010,2025-12-19,1.446
561010,2025-12-22,1.458
561010,2025-12-23,1.464
561010,2025-12-24,1.461
561010,2025-12-25,1.451
561010,2025-12-26,1.441
561010,2025-12-29,1.436
561010,2025-12-30,1.44
561010,2025-12-31,1.453
561010,2026-01-01,1.471
561010,2026-01-02,1.487
561010,2026-01-05,1.496
561010,2026-01-06,1.495
561010,2026-01-07,1.487
561010,2026-01-08,1.478
561010,2026-01-09,1.473
561010,2026-01-12,1.477
561010,2026-01-13,1.489
561010,2026-01-14,1.505
561010,2026-01-15,1.518
561010,2026-01-16,1.523
561010,2026-01-19,1.518
561010,2026-01-20,1.506
561010,2026-01-21,1.493
561010,2026-01-22,1.484
561010,2026-01-23,1.485
561010,2026-01-26,1.495
561010,2026-01-27,1.509
561010,2026-01-28,1.521
561010,2026-01-29,1.526
561010,2026-01-30,1.522
561010,2026-02-02,1.512
561010,2026-02-03,1.501
561010,2026-02-04,1.496
561010,2026-02-05,1.5
561010,2026-02-06,1.514
561010,2026-02-09,1.533
561010,2026-02-10,1.549
561010,2026-02-11,1.558
561010,2026-02-12,1.556
561010,2026-02-13,1.548
561010,2026-02-16,1.538
561010,2026-02-17,1.534
561010,2026-02-18,1.538
561010,2026-02-19,1.551
561010,2026-02-20,1.568
561010,2026-02-23,1.581
561010,2026-02-24,1.586
561010,2026-02-25,1.581
561010,2026-02-26,1.568
561010,2026-02-27,1.554
561010,2026-03-02,1.546
561010,2026-03-03,1.547
561010,2026-03-04,1.558
561010,2026-03-05,1.572
561010,2026-03-06,1.585
561010,2026-03-09,1.589
561010,2026-03-10,1.584
561010,2026-03-11,1.572
561010,2026-03-12,1.561
561010,2026-03-13,1.556
561010,2026-03-16,1.561
561010,2026-03-17,1.576
561010,2026-03-18,1.595
561010,2026-03-19,1.611
561010,2026-03-20,1.619
561010,2026-03-23,1.617
561010,2026-03-24,1.608
