code,as_of,turnover,amount
561010,2026-05-15,2.81,3.64
561010,2026-05-18,3.78,3.81
561010,2026-05-19,4.49,3.63
561010,2026-05-20,4.6,3.16
561010,2026-05-21,4.08,2.58
561010,2026-05-22,3.17,2.09
561010,2026-05-25,2.31,1.87
561010,2026-05-26,1.91,1.99
561010,2026-05-27,2.17,2.42
561010,2026-05-28,2.97,3.01
561010,2026-05-29,3.94,3.56
561010,2026-06-01,4.63,3.88
561010,2026-06-02,4.73,3.86
561010,2026-06-03,4.19,3.51
561010,2026-06-04,3.28,2.96
561010,2026-06-05,2.43,2.41
515880,2026-05-15,1.61,2.34
515880,2026-05-18,2.58,2.51
515880,2026-05-19,3.29,2.33
515880,2026-05-20,3.4,1.86
515880,2026-05-21,2.88,1.28
515880,2026-05-22,1.97,0.79
515880,2026-05-25,1.11,0.57
515880,2026-05-26,0.71,0.69
515880,2026-05-27,0.97,1.12
515880,2026-05-28,1.77,1.71
515880,2026-05-29,2.74,2.26
515880,2026-06-01,3.43,2.58
515880,2026-06-02,3.53,2.56
515880,2026-06-03,2.99,2.21
515880,2026-06-04,2.08,1.66
515880,2026-06-05,1.23,1.11
588200,2026-05-15,4.61,4.84
588200,2026-05-18,5.58,5.01
588200,2026-05-19,6.29,4.83
588200,2026-05-20,6.4,4.36
588200,2026-05-21,5.88,3.78
588200,2026-05-22,4.97,3.29
588200,2026-05-25,4.11,3.07
588200,2026-05-26,3.71,3.19
588200,2026-05-27,3.97,3.62
588200,2026-05-28,4.77,4.21
588200,2026-05-29,5.74,4.76
588200,2026-06-01,6.43,5.08
588200,2026-06-02,6.53,5.06
588200,2026-06-03,5.99,4.71
588200,2026-06-04,5.08,4.16
588200,2026-06-05,4.23,3.61
561160,2026-05-15,2.21,2.64
561160,2026-05-18,3.18,2.81
561160,2026-05-19,3.89,2.63
561160,2026-05-20,4.0,2.16
561160,2026-05-21,3.48,1.58
561160,2026-05-22,2.57,1.09
561160,2026-05-25,1.71,0.87
561160,2026-05-26,1.31,0.99
561160,2026-05-27,1.57,1.42
561160,2026-05-28,2.37,2.01
561160,2026-05-29,3.34,2.56
561160,2026-06-01,4.03,2.88
561160,2026-06-02,4.13,2.86
561160,2026-06-03,3.59,2.51
561160,2026-06-04,2.68,1.96
561160,2026-06-05,1.83,1.41
